method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.538695,0.0,10,0.0,0,0
DQN (no mask),0.530002,0.07333,10.0,0.025,0,1
