method,ar_mean,ar_std,placed_mean,valid_placed_mean,ecus_used_mean,success_rate,cap_viol_rate,conflict_viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.721262,0.0,15,15,10,1.0,0.0,0.0,0,0
MaskablePPO (P4),0.605756,0.076998,14.2,14.2,9.93,0.575,0.0,0.0,0,0
