method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.626892,0.101114,10.0,3.9733
Lagrange PPO,0.479621,0.074197,10.0,0.0067
