method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.613674,0.0,10,0.0,0,0
MaskablePPO (P4),0.600157,0.077068,10.0,0.0,0,0
