method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.613674,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.898915,0.049271,10.0,0.31,0,124
