method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73903,0.0,15,0.0,0,0
MaskablePPO (P4),0.65613,0.067957,15.0,0.0,0,0
