method,ar_mean,ar_std,placed_mean,valid_placed_mean,ecus_used_mean,success_rate,cap_viol_rate,conflict_viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.633722,0.0,10,10,15,1.0,0.0,0.0,0,0
MaskablePPO (P4),0.581798,0.06859,10.0,10.0,9.93,1.0,0.0,0.0,0,0
