method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.483962,0.099212,10.0,0.544
"PPO (P3, no constr)",0.649668,0.174513,10.0,1.1117
