method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.548044,0.0,10,0.0,0,0
DQN (no mask),0.53833,0.054503,10.0,0.025,1,0
