method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.548044,0.0,10,0.0,0,0
DDQN (no mask),0.540371,0.056574,10.0,0.025,1,0
