method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.548044,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.874493,0.059173,10.0,0.36,0,144
