method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543534,0.0,10,0.0,0,0
Random (no mask),0.774979,0.214377,10.0,0.417,698,1038
Lagrange PPO,0.549656,0.07023,10.0,0.0003,1,0
