method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.625342,0.107355,10.0,4.0
Lagrange PPO,0.474867,0.074517,10.0,0.1033
