method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.622758,0.113971,10.0,4.13
Lagrange PPO,0.510741,0.074143,10.0,0.0
