method,ar_mean,ar_std,placed_mean,repair_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.532098,0.0,10,0.0,0,0
PPO+Repair (P6),0.528519,0.070482,10.0,0.0,0,0
