method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.628811,0.103037,10.0,0.4197
Lagrange PPO,0.54092,0.075502,10.0,0.0
