method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.729988,0.0,15,0.0,0,0
"PPO (P6, best-fit)",0.674324,0.073141,13.0,0.0067,3,0
