method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.729988,0.0,15,0.0,0,0
Lagrange PPO,0.687874,0.082977,15.0,0.0833,5,35
