method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.729988,0.0,15,0.0,0,0
DDQN (no mask),0.641196,0.075569,15.0,0.5625,18,22
