method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (masked),0.449699,0.072663,9.73,0.0
MaskablePPO (P4),0.490601,0.074337,10.0,0.0
