method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.615936,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.855101,0.059944,10.0,0.28,0,112
