method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.615936,0.0,10,0.0,0,0
MaskablePPO (P4),0.608018,0.076778,9.93,0.0,0,0
