method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.63968,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.874834,0.048085,10.0,0.27,0,108
