method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.67148,0.0,15,0.0,0,0
Random Baseline,0.429995,0.097942,15.0,0.7969,1495,2091
"PPO (P3, no constr)",0.660644,0.074765,15.0,0.3067,0,1380
