method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.73899,0.0,15,0.0,0,0
Lagrange PPO,0.65051,0.067768,15.0,0.0521,5,20
