method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (masked),0.466143,0.07311,9.71,0.0
MaskablePPO (P4),0.48733,0.074415,10.0,0.0
