method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.532098,0.0,10,0.0,0,0
DDQN (no mask),0.516667,0.073925,10.0,0.05,2,0
