method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.751347,0.0,15,0.0,0,0
MaskablePPO (P4),0.683229,0.052184,15.0,0.0,0,0
