method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.751347,0.0,15,0.0,0,0
"PPO (P3, no constr)",12.297239,2.577139,15.0,1.8917,480,428
