method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.751347,0.0,15,0.0,0,0
"PPO (P6, best-fit)",0.695137,0.05387,12.72,0.0139,5,1
