method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.654749,0.0,10,0.0,0,0
"PPO (P3, cap masked)",0.852307,0.064258,10.0,0.235,0,94
