method,ar_mean,ar_std,placed_mean,viol_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.543749,0.0,10,0.0,0,0
Lagrange PPO,0.539284,0.065847,10.0,0.0025,0,1
