method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random Baseline,0.500052,0.104324,10.0,0.5603
"PPO (P3, no constr)",0.570468,0.21761,10.0,1.525
