method,ar_mean,ar_std,placed_mean,repair_rate,cap_viol_total,conflict_viol_total
ILP (Optimal),0.654749,0.0,10,0.0,0,0
PPO+Repair (P6),0.642444,0.073641,10.0,0.0225,8,4
