method,ar_mean,ar_std,placed_mean,viol_rate
ILP (Optimal),0.540177,0.0,10,0.0
Random (no mask),0.623304,0.108509,10.0,3.94
Lagrange PPO,0.473977,0.073578,10.0,0.0833
